county,lat,long,2017,2018,2019,2021,2022,median_age,poverty_rate,population,median_income
Alameda,37.6481,-121.9133,800700.0,865500.0,890500.0,989600.0,1131300.0,39.4,10.1,1682353,168598.0
Butte,39.6254,-121.537,287600.0,306700.0,359600.0,392300.0,428400.0,36.7,18.8,211632,91978.0
Contra Costa,37.8534,-121.9018,660400.0,682900.0,692100.0,797200.0,889800.0,40.5,8.7,1165927,165377.0
El Dorado,38.7426,-120.4358,503000.0,497300.0,520100.0,641000.0,673400.0,46.1,7.3,191185,146909.0
Fresno,36.9859,-119.2321,256900.0,276400.0,295700.0,342000.0,392700.0,33.4,18.7,1008654,94431.0
Humboldt,40.745,-123.8695,336200.0,335900.0,358400.0,373400.0,445700.0,40.3,18.4,136463,82076.0
Imperial,32.9787,-115.5303,214500.0,226700.0,247600.0,276900.0,317600.0,33.2,22.6,179702,79283.0
Kern,35.3466,-118.7291,218800.0,238200.0,246500.0,295800.0,351900.0,32.5,17.9,909235,89459.0
Kings,36.0741,-119.8155,224300.0,240200.0,248600.0,289400.0,317900.0,31.9,18.8,152486,84656.0
Lake,39.1017,-122.753,219100.0,244600.0,281500.0,303100.0,355900.0,45.3,16.8,68163,70990.0
Los Angeles,34.0522,-118.2437,595400.0,630600.0,649200.0,730300.0,824600.0,38.2,13.9,10014009,120272.0
Madera,37.215,-119.7692,249300.0,281200.0,302100.0,347200.0,419300.0,35.2,24.3,156255,103494.0
Marin,38.0834,-122.7633,995700.0,1119400.0,1087300.0,1376000.0,1525800.0,47.9,7.7,262321,215304.0
Mendocino,39.55,-123.4384,394400.0,412800.0,427800.0,417500.0,531300.0,43.7,19.1,91601,95958.0
Merced,37.3022,-120.4844,267000.0,267700.0,295300.0,352100.0,399500.0,31.9,19.3,281202,87586.0
Monterey,36.5994,-121.896,513800.0,578800.0,607300.0,693300.0,723300.0,35.8,12.0,439035,120870.0
Napa,38.5025,-122.2654,639300.0,684600.0,693400.0,784400.0,894000.0,43.1,8.8,138019,139453.0
Nevada,39.1347,-120.8278,453500.0,473500.0,493900.0,613400.0,643500.0,50.2,11.0,102241,116697.0
Orange,33.7175,-117.8311,693700.0,724900.0,739000.0,857300.0,969700.0,39.5,9.9,3186989,147036.0
Placer,39.0916,-120.8039,474900.0,495000.0,545200.0,636000.0,692600.0,42.8,6.2,404739,144017.0
Riverside,33.9533,-117.3961,368700.0,386100.0,406600.0,488500.0,581500.0,36.8,10.7,2418185,109719.0
Sacramento,38.5816,-121.4944,362200.0,384200.0,397800.0,475900.0,553900.0,37.3,12.1,1585055,110170.0
San Bernardino,34.9592,-116.4194,342800.0,373100.0,383900.0,457500.0,535100.0,34.4,13.4,2181654,99935.0
San Diego,32.7157,-117.1611,579100.0,619000.0,631700.0,738000.0,868100.0,37.3,10.6,3298634,129976.0
San Francisco,37.7749,-122.4194,1138400.0,1230300.0,1244900.0,1363400.0,1404700.0,40.4,10.4,873965,199900.0
San Joaquin,37.9176,-121.171,365000.0,384000.0,403400.0,478300.0,557600.0,35.2,12.1,779233,111895.0
San Luis Obispo,35.3102,-120.4358,587800.0,597300.0,635500.0,717600.0,785800.0,41.1,12.2,282424,132717.0
San Mateo,37.563,-122.3255,1123100.0,1229700.0,1272700.0,1471200.0,1629200.0,41.4,7.2,764442,216720.0
Santa Barbara,34.4208,-119.6982,541500.0,635700.0,548100.0,687500.0,745800.0,34.7,14.4,448229,131235.0
Santa Clara,37.3541,-121.9552,978200.0,1120000.0,1143200.0,1290900.0,1513700.0,38.3,7.4,1936259,212537.0
Santa Cruz,36.9741,-122.0308,779700.0,849000.0,867400.0,957300.0,1072200.0,39.5,12.9,270861,144223.0
Shasta,40.7909,-121.8474,263800.0,281300.0,295000.0,355500.0,374300.0,42.0,13.7,182155,85183.0
Solano,38.3105,-121.9018,428900.0,451300.0,473300.0,559800.0,618400.0,39.1,10.1,453491,117358.0
Sonoma,38.5779,-122.9888,632300.0,664300.0,677500.0,724100.0,781100.0,43.2,8.8,488863,132297.0
Stanislaus,37.5091,-120.9876,294300.0,327900.0,341200.0,409500.0,464200.0,34.8,15.1,552878,97669.0
Sutter,39.0346,-121.6742,288200.0,328500.0,319100.0,368700.0,457300.0,38.4,15.9,99633,92769.0
Tulare,36.1342,-118.8597,205300.0,229900.0,254100.0,290100.0,336200.0,31.9,18.2,473117,86599.0
Ventura,34.3705,-119.1391,602500.0,626100.0,642600.0,704000.0,822800.0,39.8,9.4,843843,139921.0
Yolo,38.7646,-121.9018,441800.0,472500.0,464700.0,552700.0,628700.0,32.0,17.5,216403,113784.0
Yuba,39.1404,-121.6169,262300.0,284200.0,321500.0,392100.0,451300.0,34.5,14.7,81575,89885.0
