county,Science and Engineering,Science and Engineering Related Fields,Business,Education,"Arts, Humanities and Others"
Alameda,52.2,7.5,14.2,4.1,22.1
Butte,34.8,11.3,15.4,7.8,30.6
Contra Costa,43.7,9.0,18.7,5.3,23.2
El Dorado,41.5,9.9,18.6,6.5,23.5
Fresno,31.0,12.5,18.8,9.6,28.0
Humboldt,42.9,5.7,10.1,7.5,33.8
Imperial,29.9,8.7,21.5,11.8,28.1
Kern,39.1,10.3,15.9,8.3,26.4
Kings,34.5,8.0,14.5,15.4,27.5
Lake,38.9,11.9,16.4,11.7,21.1
Los Angeles,37.7,8.1,17.7,5.3,31.2
Madera,29.8,5.9,24.7,12.7,27.0
Marin,41.3,5.5,15.6,6.0,31.5
Mendocino,43.6,8.8,9.8,5.9,31.8
Merced,33.0,10.2,18.5,12.3,26.0
Monterey,41.0,7.9,15.0,6.0,30.1
Napa,39.0,8.6,17.2,7.6,27.7
Nevada,41.4,7.2,12.9,5.6,32.9
Orange,39.4,8.9,22.3,6.1,23.2
Placer,38.9,10.1,19.1,7.0,24.9
Riverside,35.5,10.7,21.4,8.5,23.9
Sacramento,41.5,8.3,17.8,6.2,26.2
San Bernardino,34.7,10.7,21.7,8.1,24.8
San Diego,44.0,8.5,18.6,6.0,22.9
San Francisco,48.7,7.1,16.1,2.9,25.2
San Joaquin,40.1,12.9,16.9,7.5,22.6
San Luis Obispo,40.1,8.9,13.9,8.8,28.3
San Mateo,51.5,7.4,17.4,4.3,19.3
Santa Barbara,46.2,5.4,12.5,5.5,30.4
Santa Clara,59.3,6.9,14.8,3.7,15.3
Santa Cruz,47.2,6.6,12.3,3.3,30.5
Shasta,35.0,11.7,12.3,9.5,31.4
Solano,35.9,16.7,19.2,5.8,22.5
Sonoma,40.7,8.2,15.1,6.2,29.7
Stanislaus,34.9,9.7,18.1,9.0,28.4
Sutter,39.9,11.8,13.9,8.6,25.8
Tulare,34.0,10.8,12.8,12.1,30.3
Ventura,41.1,9.2,16.4,7.0,26.3
Yolo,54.6,8.0,11.4,4.0,22.1
Yuba,28.1,7.5,17.0,8.7,38.7
